Número do Laudo,UNIDADE,TIPO DE AMOSTRA,TIPO DE COLETA,PONTO DE AMOSTRAGEM,MANANCIAL,LOCALIDADE,COD. PONTO,ENDERECO,SETOR,INTERESSADO,PARAMETRO,Metodologia,FRASCO,LIMITE INFERIOR,VALOR RESULTADO,VALOR LITERAL,LIMITE SUPERIOR,DATA DE COLETA,DATA DE ENTRADA,FORA DO PADRAO,,
N?  2226781-A/2226781/UN-BCL,UN-BCL,Água Bruta,Água Bruta,Saída do poço,Poço Profundo,ITAPIPOCA,233463,-AGUA BRUTA - Localidade  Cura 2,SISAR,SISAR UNBCL,Alumínio,"3500-Al B, SMEWW 22nd Ed., 2012",3605,0,0,ND,10000000,10/09/2019,10/09/2019,0,,
N?  2226784-A/2226784/UN-BCL,UN-BCL,Água Bruta,Completa,Saída do poço,Poço Profundo,AMONTADA,329789,-Água Bruta - Lagoa do Jardim,SISAR,SISAR - UNBCL,Alumínio,"3500-Al B, SMEWW 22nd Ed., 2012",3606,0,"0,58","0,58",10000000,10/09/2019,10/09/2019,0,,
N?  2226787-A/2226787/UN-BCL,UN-BCL,Água Bruta,Completa,Saída do poço,Poço Profundo,ITAREMA,329782,Particular-Água Bruta - Saguim,SISAR,SISAR - UNBCL,Alumínio,"3500-Al B, SMEWW 22nd Ed., 2012",3607,0,"0,01","<0,05",10000000,10/09/2019,10/09/2019,0,,
N?  2226792-A/2226792/UN-BCL,UN-BCL,Água Bruta,Completa,Saída do poço,Poço Profundo,ITAREMA,329783,Particular-Água Bruta - Barbosa,SISAR,SISAR - UNBCL,Alumínio,"3500-Al B, SMEWW 22nd Ed., 2012",3608,0,"0,01","<0,05",10000000,10/09/2019,10/09/2019,0,,
N?  2226795-A/2226795/UN-BCL,UN-BCL,Água Bruta,Completa,Saída do poço,Poço Profundo,ITAREMA,329784,Particular-Água Bruta - Paichicu,SISAR,SISAR - UNBCL,Alumínio,"3500-Al B, SMEWW 22nd Ed., 2012",3609,0,"0,01","<0,05",10000000,10/09/2019,10/09/2019,0,,
N?  2226799-A/2226799/UN-BCL,UN-BCL,Água Bruta,Completa,Saída do poço,Poço Profundo,ITAREMA,323366,Particular-Água Bruta - São Gabriel,SISAR,SISAR,Alumínio,"3500-Al B, SMEWW 22nd Ed., 2012",3611,0,"0,01","<0,05",10000000,10/09/2019,10/09/2019,0,,
N?  2226803-A/2226803/UN-BCL,UN-BCL,Água Bruta,Completa,Saída do poço,Poço Profundo,ITAREMA,329785,Particular-Água Bruta - Mãe Cosma,SISAR,SISAR - UNBCL,Alumínio,"3500-Al B, SMEWW 22nd Ed., 2012",3612,0,"0,02","<0,05",10000000,10/09/2019,10/09/2019,0,,
N?  2226806-A/2226806/UN-BCL,UN-BCL,Água Bruta,Completa,Saída do poço,Poço Profundo,ITAREMA,329786,Particular-Água Bruta - Varzea Grande,SISAR,SISAR - UNBCL,Alumínio,"3500-Al B, SMEWW 22nd Ed., 2012",3613,0,"0,03","<0,05",10000000,10/09/2019,10/09/2019,0,,
N?  2226809-A/2226809/UN-BCL,UN-BCL,Água Bruta,Completa,Saída da estação de tratamento,Poço Profundo,ITAREMA,329787,Particular-Água Bruta - Santa Clara,SISAR,SISAR - UNBCL,Alumínio,"3500-Al B, SMEWW 22nd Ed., 2012",3614,0,0,ND,10000000,10/09/2019,10/09/2019,0,,
N?  2226812-A/2226812/UN-BCL,UN-BCL,Água Bruta,Completa,Chafariz,PT - 02,TRAIRI,329924,-Água Bruta - Vila Gualdrapas,Coletas Extras,GESAR - OBRAS,Alumínio,"3500-Al B, SMEWW 22nd Ed., 2012",3615,0,0,ND,10000000,12/09/2019,12/09/2019,0,,
N?  2226814-A/2226814/UN-BCL,UN-BCL,Água Bruta,Completa,Chafariz,PT - 03,TRAIRI,329924,-Água Bruta - Vila Gualdrapas,Coletas Extras,GESAR - OBRAS,Alumínio,"3500-Al B, SMEWW 22nd Ed., 2012",3616,0,"0,06","0,06",10000000,12/09/2019,12/09/2019,0,,
N?  2226816-A/2226816/UN-BCL,UN-BCL,Água Bruta,Completa,Chafariz,PT - 04,TRAIRI,329924,-Água Bruta - Vila Gualdrapas,Coletas Extras,GESAR - OBRAS,Alumínio,"3500-Al B, SMEWW 22nd Ed., 2012",3617,0,"0,01","<0,05",10000000,12/09/2019,12/09/2019,0,,
N?  2227783-A/2227783/UN-BCL,UN-BCL,Água Bruta,Completa,Saída do poço,PT - 05,TRAIRI,329924,-Água Bruta - Vila Gualdrapas,Coletas Extras,GESAR - OBRAS,Alumínio,"3500-Al B, SMEWW 22nd Ed., 2012",3618,0,"0,01","<0,05",10000000,12/09/2019,12/09/2019,0,,
N?  2227785-A/2227785/UN-BCL,UN-BCL,Água Bruta,Completa,Saída do poço,PT - 06,TRAIRI,329924,-Água Bruta - Vila Gualdrapas,Coletas Extras,GESAR - OBRAS,Alumínio,"3500-Al B, SMEWW 22nd Ed., 2012",3619,0,"0,03","<0,05",10000000,12/09/2019,12/09/2019,0,,
N?  2226819-A/2226819/UN-BCL,UN-BCL,Água Bruta,Completa,Chafariz,PT - 01,TRAIRI,329924,-Água Bruta - Vila Gualdrapas,Coletas Extras,GESAR - OBRAS,Alumínio,"3500-Al B, SMEWW 22nd Ed., 2012",3621,0,"0,04","<0,05",10000000,12/09/2019,12/09/2019,0,,
N?  2228283-A/2228283/UN-BCL,UN-BCL,Água Bruta,Particular,Saída do poço,Poço Amazonas,ITAPIPOCA,329974,-Água Bruta - Sítios Fleixeiras Itacoatiara - Araparí,UNBCL - EXTRAS,Claudia Barbosa Montenegro,Alumínio,"3500-Al B, SMEWW 22nd Ed., 2012",3623,0,"0,01","<0,05",10000000,17/09/2019,17/09/2019,0,,
N?  2226781-A/2226781/UN-BCL,UN-BCL,Água Bruta,Água Bruta,Saída do poço,Poço Profundo,ITAPIPOCA,233463,-AGUA BRUTA - Localidade  Cura 2,SISAR,SISAR UNBCL,Amônia,"4500-NH3 D, SMEWW 22nd Ed., 2012",3605,0,"0,02","<0,1",1000,10/09/2019,10/09/2019,0,,
N?  2226784-A/2226784/UN-BCL,UN-BCL,Água Bruta,Completa,Saída do poço,Poço Profundo,AMONTADA,329789,-Água Bruta - Lagoa do Jardim,SISAR,SISAR - UNBCL,Amônia,"4500-NH3 D, SMEWW 22nd Ed., 2012",3606,0,"0,02","<0,1",1000,10/09/2019,10/09/2019,0,,
N?  2226787-A/2226787/UN-BCL,UN-BCL,Água Bruta,Completa,Saída do poço,Poço Profundo,ITAREMA,329782,Particular-Água Bruta - Saguim,SISAR,SISAR - UNBCL,Amônia,"4500-NH3 D, SMEWW 22nd Ed., 2012",3607,0,"0,03","<0,1",1000,10/09/2019,10/09/2019,0,,
N?  2226792-A/2226792/UN-BCL,UN-BCL,Água Bruta,Completa,Saída do poço,Poço Profundo,ITAREMA,329783,Particular-Água Bruta - Barbosa,SISAR,SISAR - UNBCL,Amônia,"4500-NH3 D, SMEWW 22nd Ed., 2012",3608,0,"0,03","<0,1",1000,10/09/2019,10/09/2019,0,,
N?  2226795-A/2226795/UN-BCL,UN-BCL,Água Bruta,Completa,Saída do poço,Poço Profundo,ITAREMA,329784,Particular-Água Bruta - Paichicu,SISAR,SISAR - UNBCL,Amônia,"4500-NH3 D, SMEWW 22nd Ed., 2012",3609,0,"0,02","<0,1",1000,10/09/2019,10/09/2019,0,,
N?  2226797-A/2226797/UN-BCL,UN-BCL,Água Bruta,Completa,Saída do poço,Poço Profundo,ITAREMA,323368,Particular-Água Bruta - Patos,SISAR,SISAR,Amônia,"4500-NH3 D, SMEWW 22nd Ed., 2012",3610,0,"0,02","<0,1",1000,10/09/2019,10/09/2019,0,,
N?  2226799-A/2226799/UN-BCL,UN-BCL,Água Bruta,Completa,Saída do poço,Poço Profundo,ITAREMA,323366,Particular-Água Bruta - São Gabriel,SISAR,SISAR,Amônia,"4500-NH3 D, SMEWW 22nd Ed., 2012",3611,0,"0,02","<0,1",1000,10/09/2019,10/09/2019,0,,
N?  2226803-A/2226803/UN-BCL,UN-BCL,Água Bruta,Completa,Saída do poço,Poço Profundo,ITAREMA,329785,Particular-Água Bruta - Mãe Cosma,SISAR,SISAR - UNBCL,Amônia,"4500-NH3 D, SMEWW 22nd Ed., 2012",3612,0,"0,02","<0,1",1000,10/09/2019,10/09/2019,0,,
N?  2226806-A/2226806/UN-BCL,UN-BCL,Água Bruta,Completa,Saída do poço,Poço Profundo,ITAREMA,329786,Particular-Água Bruta - Varzea Grande,SISAR,SISAR - UNBCL,Amônia,"4500-NH3 D, SMEWW 22nd Ed., 2012",3613,0,"0,01","<0,1",1000,10/09/2019,10/09/2019,0,,
N?  2226809-A/2226809/UN-BCL,UN-BCL,Água Bruta,Completa,Saída da estação de tratamento,Poço Profundo,ITAREMA,329787,Particular-Água Bruta - Santa Clara,SISAR,SISAR - UNBCL,Amônia,"4500-NH3 D, SMEWW 22nd Ed., 2012",3614,0,"0,01","<0,1",1000,10/09/2019,10/09/2019,0,,
N?  2226825-A/2226825/UN-BCL,UN-BCL,Água Bruta,Completa,Captação,Açude Brotas,BROTAS,329923,-Água Bruta - Açude de Brotas,Extras,UNBCL,Amônia,"4500-NH3 D, SMEWW 22nd Ed., 2012",3622,0,"0,08","<0,1",1000,12/09/2019,12/09/2019,0,,
N?  2228283-A/2228283/UN-BCL,UN-BCL,Água Bruta,Particular,Saída do poço,Poço Amazonas,ITAPIPOCA,329974,-Água Bruta - Sítios Fleixeiras Itacoatiara - Araparí,UNBCL - EXTRAS,Claudia Barbosa Montenegro,Amônia,"4500-NH3 D, SMEWW 22nd Ed., 2012",3623,0,"0,13","0,13",1000,17/09/2019,17/09/2019,0,,
N?  2226812-A/2226812/UN-BCL,UN-BCL,Água Bruta,Completa,Chafariz,PT - 02,TRAIRI,329924,-Água Bruta - Vila Gualdrapas,Coletas Extras,GESAR - OBRAS,Cálcio,"3500-Ca B, SMEWW 23rd Ed., 2017",3615,0,"26,39104","26,39",10000000,12/09/2019,12/09/2019,0,,
N?  2226814-A/2226814/UN-BCL,UN-BCL,Água Bruta,Completa,Chafariz,PT - 03,TRAIRI,329924,-Água Bruta - Vila Gualdrapas,Coletas Extras,GESAR - OBRAS,Cálcio,"3500-Ca B, SMEWW 23rd Ed., 2017",3616,0,"2,47416","2,47",10000000,12/09/2019,12/09/2019,0,,
N?  2226816-A/2226816/UN-BCL,UN-BCL,Água Bruta,Completa,Chafariz,PT - 04,TRAIRI,329924,-Água Bruta - Vila Gualdrapas,Coletas Extras,GESAR - OBRAS,Cálcio,"3500-Ca B, SMEWW 23rd Ed., 2017",3617,0,"2,47416","2,47",10000000,12/09/2019,12/09/2019,0,,
N?  2227783-A/2227783/UN-BCL,UN-BCL,Água Bruta,Completa,Saída do poço,PT - 05,TRAIRI,329924,-Água Bruta - Vila Gualdrapas,Coletas Extras,GESAR - OBRAS,Cálcio,"3500-Ca B, SMEWW 23rd Ed., 2017",3618,0,"24,7416","24,74",10000000,12/09/2019,12/09/2019,0,,
N?  2227785-A/2227785/UN-BCL,UN-BCL,Água Bruta,Completa,Saída do poço,PT - 06,TRAIRI,329924,-Água Bruta - Vila Gualdrapas,Coletas Extras,GESAR - OBRAS,Cálcio,"3500-Ca B, SMEWW 23rd Ed., 2017",3619,0,"2,47416","2,47",10000000,12/09/2019,12/09/2019,0,,
N?  2227787-A/2227787/UN-BCL,UN-BCL,Água Bruta,Completa,Captação,Lagoa das Quintas,TRAIRI,329924,-Água Bruta - Vila Gualdrapas,Coletas Extras,GESAR - OBRAS,Cálcio,"3500-Ca B, SMEWW 23rd Ed., 2017",3620,0,"30,51464","30,51",10000000,12/09/2019,12/09/2019,0,,
N?  2226819-A/2226819/UN-BCL,UN-BCL,Água Bruta,Completa,Chafariz,PT - 01,TRAIRI,329924,-Água Bruta - Vila Gualdrapas,Coletas Extras,GESAR - OBRAS,Cálcio,"3500-Ca B, SMEWW 23rd Ed., 2017",3621,0,"20,618","20,62",10000000,12/09/2019,12/09/2019,0,,
N?  2226825-A/2226825/UN-BCL,UN-BCL,Água Bruta,Completa,Captação,Açude Brotas,BROTAS,329923,-Água Bruta - Açude de Brotas,Extras,UNBCL,Cálcio,"3500-Ca B, SMEWW 23rd Ed., 2017",3622,0,"30,51464","30,51",10000000,12/09/2019,12/09/2019,0,,
N?  2228283-A/2228283/UN-BCL,UN-BCL,Água Bruta,Particular,Saída do poço,Poço Amazonas,ITAPIPOCA,329974,-Água Bruta - Sítios Fleixeiras Itacoatiara - Araparí,UNBCL - EXTRAS,Claudia Barbosa Montenegro,Cálcio,"3500-Ca B, SMEWW 23rd Ed., 2017",3623,0,"16,4864","16,49",10000000,17/09/2019,17/09/2019,0,,
N?  2226781-A/2226781/UN-BCL,UN-BCL,Água Bruta,Água Bruta,Saída do poço,Poço Profundo,ITAPIPOCA,233463,-AGUA BRUTA - Localidade  Cura 2,SISAR,SISAR UNBCL,Cloreto,"4500-Cl- B, SMEWW 22nd Ed., 2012",3605,0,528,528,250,10/09/2019,10/09/2019,1,,
N?  2226784-A/2226784/UN-BCL,UN-BCL,Água Bruta,Completa,Saída do poço,Poço Profundo,AMONTADA,329789,-Água Bruta - Lagoa do Jardim,SISAR,SISAR - UNBCL,Cloreto,"4500-Cl- B, SMEWW 22nd Ed., 2012",3606,0,247,247,250,10/09/2019,10/09/2019,0,,
N?  2226787-A/2226787/UN-BCL,UN-BCL,Água Bruta,Completa,Saída do poço,Poço Profundo,ITAREMA,329782,Particular-Água Bruta - Saguim,SISAR,SISAR - UNBCL,Cloreto,"4500-Cl- B, SMEWW 22nd Ed., 2012",3607,0,120,120,250,10/09/2019,10/09/2019,0,,
N?  2226792-A/2226792/UN-BCL,UN-BCL,Água Bruta,Completa,Saída do poço,Poço Profundo,ITAREMA,329783,Particular-Água Bruta - Barbosa,SISAR,SISAR - UNBCL,Cloreto,"4500-Cl- B, SMEWW 22nd Ed., 2012",3608,0,258,258,250,10/09/2019,10/09/2019,1,,
N?  2226795-A/2226795/UN-BCL,UN-BCL,Água Bruta,Completa,Saída do poço,Poço Profundo,ITAREMA,329784,Particular-Água Bruta - Paichicu,SISAR,SISAR - UNBCL,Cloreto,"4500-Cl- B, SMEWW 22nd Ed., 2012",3609,0,154,154,250,10/09/2019,10/09/2019,0,,
N?  2226797-A/2226797/UN-BCL,UN-BCL,Água Bruta,Completa,Saída do poço,Poço Profundo,ITAREMA,323368,Particular-Água Bruta - Patos,SISAR,SISAR,Cloreto,"4500-Cl- B, SMEWW 22nd Ed., 2012",3610,0,158,158,250,10/09/2019,10/09/2019,0,,
N?  2226799-A/2226799/UN-BCL,UN-BCL,Água Bruta,Completa,Saída do poço,Poço Profundo,ITAREMA,323366,Particular-Água Bruta - São Gabriel,SISAR,SISAR,Cloreto,"4500-Cl- B, SMEWW 22nd Ed., 2012",3611,0,57,57,250,10/09/2019,10/09/2019,0,,
N?  2226803-A/2226803/UN-BCL,UN-BCL,Água Bruta,Completa,Saída do poço,Poço Profundo,ITAREMA,329785,Particular-Água Bruta - Mãe Cosma,SISAR,SISAR - UNBCL,Cloreto,"4500-Cl- B, SMEWW 22nd Ed., 2012",3612,0,12,12,250,10/09/2019,10/09/2019,0,,
N?  2226806-A/2226806/UN-BCL,UN-BCL,Água Bruta,Completa,Saída do poço,Poço Profundo,ITAREMA,329786,Particular-Água Bruta - Varzea Grande,SISAR,SISAR - UNBCL,Cloreto,"4500-Cl- B, SMEWW 22nd Ed., 2012",3613,0,168,168,250,10/09/2019,10/09/2019,0,,
N?  2226809-A/2226809/UN-BCL,UN-BCL,Água Bruta,Completa,Saída da estação de tratamento,Poço Profundo,ITAREMA,329787,Particular-Água Bruta - Santa Clara,SISAR,SISAR - UNBCL,Cloreto,"4500-Cl- B, SMEWW 22nd Ed., 2012",3614,0,372,372,250,10/09/2019,10/09/2019,1,,
N?  2226812-A/2226812/UN-BCL,UN-BCL,Água Bruta,Completa,Chafariz,PT - 02,TRAIRI,329924,-Água Bruta - Vila Gualdrapas,Coletas Extras,GESAR - OBRAS,Cloreto,"4500-Cl- B, SMEWW 22nd Ed., 2012",3615,0,293,293,250,12/09/2019,12/09/2019,1,,
N?  2226814-A/2226814/UN-BCL,UN-BCL,Água Bruta,Completa,Chafariz,PT - 03,TRAIRI,329924,-Água Bruta - Vila Gualdrapas,Coletas Extras,GESAR - OBRAS,Cloreto,"4500-Cl- B, SMEWW 22nd Ed., 2012",3616,0,86,86,250,12/09/2019,12/09/2019,0,,
N?  2226816-A/2226816/UN-BCL,UN-BCL,Água Bruta,Completa,Chafariz,PT - 04,TRAIRI,329924,-Água Bruta - Vila Gualdrapas,Coletas Extras,GESAR - OBRAS,Cloreto,"4500-Cl- B, SMEWW 22nd Ed., 2012",3617,0,91,91,250,12/09/2019,12/09/2019,0,,
N?  2227783-A/2227783/UN-BCL,UN-BCL,Água Bruta,Completa,Saída do poço,PT - 05,TRAIRI,329924,-Água Bruta - Vila Gualdrapas,Coletas Extras,GESAR - OBRAS,Cloreto,"4500-Cl- B, SMEWW 22nd Ed., 2012",3618,0,460,460,250,12/09/2019,12/09/2019,1,,
N?  2227785-A/2227785/UN-BCL,UN-BCL,Água Bruta,Completa,Saída do poço,PT - 06,TRAIRI,329924,-Água Bruta - Vila Gualdrapas,Coletas Extras,GESAR - OBRAS,Cloreto,"4500-Cl- B, SMEWW 22nd Ed., 2012",3619,0,15,15,250,12/09/2019,12/09/2019,0,,
N?  2227787-A/2227787/UN-BCL,UN-BCL,Água Bruta,Completa,Captação,Lagoa das Quintas,TRAIRI,329924,-Água Bruta - Vila Gualdrapas,Coletas Extras,GESAR - OBRAS,Cloreto,"4500-Cl- B, SMEWW 22nd Ed., 2012",3620,0,157,157,250,12/09/2019,12/09/2019,0,,
