Número do Laudo,UNIDADE,TIPO DE AMOSTRA,TIPO DE COLETA,PONTO DE AMOSTRAGEM,MANANCIAL,LOCALIDADE,COD. PONTO,ENDERECO,SETOR,INTERESSADO,PARAMETRO,Metodologia,FRASCO,LIMITE INFERIOR,VALOR RESULTADO,VALOR LITERAL,LIMITE SUPERIOR,DATA DE COLETA,DATA DE ENTRADA,FORA DO PADRAO,
N?  2170605-A/2170605/UN-BSI,UN-BSI,Água Bruta,Completa,Saída do poço,Poço,SAO BENEDITO,326622,"Travessa Manoel Gomes da Silva, nº 1591, Monsenhor Otacílio",UNBSI - SAO BENEDITO,Pedro César Mourão Bezerra,Cloreto,"4500-Cl- B, SMEWW 22nd Ed., 2012",3058,0,"16,966","16,97",250,12/03/2019,12/03/2019,0,
N?  2184192-A/2184192/UN-BSI,UN-BSI,Água Bruta,Completa,Saída do poço,Poço,UBAJARA,327169,Estrada para Nova Veneza - Sítio Tucuns,UNBSI - UBAJARA,Francisco das Chagas Barbosa da Silva,Cloreto,"4500-Cl- B, SMEWW 22nd Ed., 2012",3089,0,91,91,250,16/04/2019,17/04/2019,0,
N?  2164145-A/2164145/UN-BSI,UN-BSI,Água Tratada Saída Sistema,IQAP,Torneira do laboratório,Açude Jaburu,TIANGUA,43465,ETA Jaburu,UNBSI - TIANGUÁ,UNBSI,Cloro residual livre DPD,"4500-Cl F, SMEWW 22nd Ed., 2012",49,0,"4,8","4,8",8,04/02/2019,04/02/2019,0,
N?  2164146-A/2164146/UN-BSI,UN-BSI,Água Tratada Saída Sistema,IQAP,Torneira do laboratório,Açude Jaburu,TIANGUA,43465,ETA Jaburu,UNBSI - TIANGUÁ,UNBSI,Cloro residual livre DPD,"4500-Cl F, SMEWW 22nd Ed., 2012",50,0,"4,5","4,5",8,06/02/2019,06/02/2019,0,
N?  2164150-A/2164150/UN-BSI,UN-BSI,Água Tratada Saída Sistema,IQAP,Torneira do laboratório,Açude Jaburu,TIANGUA,43465,ETA Jaburu,UNBSI - TIANGUÁ,UNBSI,Cloro residual livre DPD,"4500-Cl F, SMEWW 22nd Ed., 2012",51,0,"4,6","4,6",8,11/02/2019,11/02/2019,0,
N?  2164151-A/2164151/UN-BSI,UN-BSI,Água Tratada Saída Sistema,IQAP,Torneira do laboratório,Açude Jaburu,TIANGUA,43465,ETA Jaburu,UNBSI - TIANGUÁ,UNBSI,Cloro residual livre DPD,"4500-Cl F, SMEWW 22nd Ed., 2012",52,0,"4,5","4,5",8,13/02/2019,13/02/2019,0,
N?  2164153-A/2164153/UN-BSI,UN-BSI,Água Tratada Saída Sistema,IQAP,Torneira do laboratório,Açude Jaburu,TIANGUA,43465,ETA Jaburu,UNBSI - TIANGUÁ,UNBSI,Cloro residual livre DPD,"4500-Cl F, SMEWW 22nd Ed., 2012",53,0,"4,7","4,7",8,18/02/2019,18/02/2019,0,
N?  2164417-A/2164417/UN-BSI,UN-BSI,Água Tratada Saída Sistema,IQAP,Torneira do laboratório,Açude Jaburu,TIANGUA,43465,ETA Jaburu,UNBSI - TIANGUÁ,UNBSI,Cloro residual livre DPD,"4500-Cl F, SMEWW 22nd Ed., 2012",54,0,"4,6","4,6",8,20/02/2019,20/02/2019,0,
N?  2164418-A/2164418/UN-BSI,UN-BSI,Água Tratada Saída Sistema,IQAP,Torneira do laboratório,Açude Jaburu,TIANGUA,43465,ETA Jaburu,UNBSI - TIANGUÁ,UNBSI,Cloro residual livre DPD,"4500-Cl F, SMEWW 22nd Ed., 2012",55,0,4,4,8,25/02/2019,25/02/2019,0,
N?  2164419-A/2164419/UN-BSI,UN-BSI,Água Tratada Saída Sistema,IQAP,Torneira do laboratório,Açude Jaburu,TIANGUA,43465,ETA Jaburu,UNBSI - TIANGUÁ,UNBSI,Cloro residual livre DPD,"4500-Cl F, SMEWW 22nd Ed., 2012",56,0,"4,1","4,1",8,27/02/2019,27/02/2019,0,
N?  2150622-A/2150622/UN-BSI,UN-BSI,Água Tratada Saída Sistema,IQAP,Torneira do laboratório,Açude Jaburu,TIANGUA,43465,ETA Jaburu,UNBSI - TIANGUÁ,UNBSI,Cloro residual livre DPD,"4500-Cl F, SMEWW 22nd Ed., 2012",61,0,"4,5","4,5",8,02/01/2019,02/01/2019,0,
N?  2150623-A/2150623/UN-BSI,UN-BSI,Água Tratada Saída Sistema,IQAP,Torneira do laboratório,Açude Jaburu,TIANGUA,43465,ETA Jaburu,UNBSI - TIANGUÁ,UNBSI,Cloro residual livre DPD,"4500-Cl F, SMEWW 22nd Ed., 2012",62,0,"4,5","4,5",8,03/01/2019,03/01/2019,0,
N?  2150628-A/2150628/UN-BSI,UN-BSI,Água Tratada Saída Sistema,IQAP,Torneira do laboratório,Açude Jaburu,TIANGUA,43465,ETA Jaburu,UNBSI - TIANGUÁ,UNBSI,Cloro residual livre DPD,"4500-Cl F, SMEWW 22nd Ed., 2012",63,0,"3,8","3,8",8,07/01/2019,07/01/2019,0,
N?  2150632-A/2150632/UN-BSI,UN-BSI,Água Tratada Saída Sistema,IQAP,Torneira do laboratório,Açude Jaburu,TIANGUA,43465,ETA Jaburu,UNBSI - TIANGUÁ,UNBSI,Cloro residual livre DPD,"4500-Cl F, SMEWW 22nd Ed., 2012",64,0,"2,8","2,8",8,09/01/2019,09/01/2019,0,
N?  2150635-A/2150635/UN-BSI,UN-BSI,Água Tratada Saída Sistema,IQAP,Torneira do laboratório,Açude Jaburu,TIANGUA,43465,ETA Jaburu,UNBSI - TIANGUÁ,UNBSI,Cloro residual livre DPD,"4500-Cl F, SMEWW 22nd Ed., 2012",65,0,"4,5","4,5",8,14/01/2019,14/01/2019,0,
N?  2150642-A/2150642/UN-BSI,UN-BSI,Água Tratada Saída Sistema,IQAP,Torneira do laboratório,Açude Jaburu,TIANGUA,43465,ETA Jaburu,UNBSI - TIANGUÁ,UNBSI,Cloro residual livre DPD,"4500-Cl F, SMEWW 22nd Ed., 2012",66,0,"4,3","4,3",8,16/01/2019,16/01/2019,0,
N?  2152966-A/2152966/UN-BSI,UN-BSI,Água Tratada Saída Sistema,IQAP,Torneira do laboratório,Açude Jaburu,TIANGUA,43465,ETA Jaburu,UNBSI - TIANGUÁ,UNBSI,Cloro residual livre DPD,"4500-Cl F, SMEWW 22nd Ed., 2012",67,0,"4,7","4,7",8,21/01/2019,21/01/2019,0,
N?  2152967-A/2152967/UN-BSI,UN-BSI,Água Tratada Saída Sistema,IQAP,Torneira do laboratório,Açude Jaburu,TIANGUA,43465,ETA Jaburu,UNBSI - TIANGUÁ,UNBSI,Cloro residual livre DPD,"4500-Cl F, SMEWW 22nd Ed., 2012",68,0,"4,6","4,6",8,23/01/2019,23/01/2019,0,
N?  2155914-A/2155914/UN-BSI,UN-BSI,Água Tratada Saída Sistema,IQAP,Torneira do laboratório,Açude Jaburu,TIANGUA,43465,ETA Jaburu,UNBSI - TIANGUÁ,UNBSI,Cloro residual livre DPD,"4500-Cl F, SMEWW 22nd Ed., 2012",69,0,"4,2","4,2",8,28/01/2019,28/01/2019,0,
N?  2155915-A/2155915/UN-BSI,UN-BSI,Água Tratada Saída Sistema,IQAP,Torneira do laboratório,Açude Jaburu,TIANGUA,43465,ETA Jaburu,UNBSI - TIANGUÁ,UNBSI,Cloro residual livre DPD,"4500-Cl F, SMEWW 22nd Ed., 2012",70,0,"4,3","4,3",8,30/01/2019,30/01/2019,0,
N?  2153896-A/2153896/UN-BSI,UN-BSI,Água Tratada Rede de Distribuição,Trihalometanos (THM),Torneira de entrada,Açude Jaburu,TIANGUA,326013,Sítio São José,UNBSI - TIANGUÁ,UNBSI - TIANGUÁ,Cloro residual livre DPD,"4500-Cl F, SMEWW 22nd Ed., 2012",5187,"0,2","1,5","1,5",5,22/01/2019,24/01/2019,0,
N?  2173737-A/2173737/UN-BSI,UN-BSI,Água Tratada Saída Sistema,Trihalometanos (THM),Torneira de água tratada do laboratório,Açude Jaburu,TIANGUA,216243,ETA Jaburu,UNBSI - TIANGUÁ,UN-BSI - TIANGUÁ,Cloro residual livre DPD,"4500-Cl F, SMEWW 22nd Ed., 2012",5373,0,"4,1","4,1",8,22/03/2019,27/03/2019,0,
N?  2173740-A/2173740/UN-BSI,UN-BSI,Água Tratada Rede de Distribuição,Trihalometanos (THM),Torneira de entrada,Açude Jaburu,TIANGUA,326810,Rua Adauto de Vasconcelos,UNBSI - TIANGUÁ,UNBSI - TIANGUÁ,Cloro residual livre DPD,"4500-Cl F, SMEWW 22nd Ed., 2012",5374,"0,2",2,2,5,22/03/2019,27/03/2019,0,
N?  2161381-A/2161381/UN-BSI,UN-BSI,Água Tratada Rede de Distribuição,IQAD,Torneira de entrada,"Açude Jaburu, PT - 03",CARNAUBAL,44201,CAGECE ¿ LOJA DE ATENDIMENTO,UNBSI - CARNAUBAL,UNBSI,Cloro residual livre OT,"1015, SMEWW 13th Ed., 1971",1,"0,2",1,1,5,04/02/2019,04/02/2019,0,
N?  2150707-A/2150707/UN-BSI,UN-BSI,Água Tratada Rede de Distribuição,IQAD,Torneira de entrada,"PT - 01, PT - 02",CARNAUBAL,230693,Av. São Vicente,UNBSI - CARNAUBAL,UNBSI,Cloro residual livre OT,"1015, SMEWW 13th Ed., 1971",1,"0,2",1,1,5,03/01/2019,03/01/2019,0,
N?  2150475-A/2150475/UN-BSI,UN-BSI,Água Tratada Saída Sistema,IQAP,Torneira de saída da ETA,Poços,CARNAUBAL,322242,Rua Major Felinto - RAP  PT01 + PT02,UNBSI - CARNAUBAL,UNBSI,Cloro residual livre OT,"1015, SMEWW 13th Ed., 1971",1,0,2,2,10000000,02/01/2019,02/01/2019,0,
N?  2164119-A/2164119/UN-BSI,UN-BSI,Água Tratada Saída Sistema,IQAP,Torneira de saída da ETA,Poços,CARNAUBAL,322242,Rua Major Felinto - RAP  PT01 + PT02,UNBSI - CARNAUBAL,UNBSI,Cloro residual livre OT,"1015, SMEWW 13th Ed., 1971",1,0,3,3,10000000,04/02/2019,04/02/2019,0,
N?  2150708-A/2150708/UN-BSI,UN-BSI,Água Tratada Rede de Distribuição,IQAD,Torneira de entrada,Açude Jaburu,CARNAUBAL,44408,ET. SITIO BURITI,UNBSI - CARNAUBAL,UN BSI,Cloro residual livre OT,"1015, SMEWW 13th Ed., 1971",2,"0,2",2,2,5,07/01/2019,07/01/2019,0,
N?  2150479-A/2150479/UN-BSI,UN-BSI,Água Tratada Saída Sistema,IQAP,Torneira de saída da ETA,Poço,CARNAUBAL,316712,R. Manoel Estárgio - SMS 17 - PT 03,UNBSI - CARNAUBAL,UNBSI,Cloro residual livre OT,"1015, SMEWW 13th Ed., 1971",2,0,"0,8","0,8",10000000,02/01/2019,02/01/2019,0,
N?  2161385-A/2161385/UN-BSI,UN-BSI,Água Tratada Rede de Distribuição,IQAD,Torneira de entrada,Açude Jaburu,CARNAUBAL,44397,R.  SDO 17,UNBSI - CARNAUBAL,UNBSI,Cloro residual livre OT,"1015, SMEWW 13th Ed., 1971",2,"0,2",2,2,5,04/02/2019,04/02/2019,0,
N?  2164121-A/2164121/UN-BSI,UN-BSI,Água Tratada Saída Sistema,IQAP,Torneira de saída da ETA,Poço,CARNAUBAL,316712,R. Manoel Estárgio - SMS 17 - PT 03,UNBSI - CARNAUBAL,UNBSI,Cloro residual livre OT,"1015, SMEWW 13th Ed., 1971",2,0,3,3,10000000,04/02/2019,04/02/2019,0,
N?  2150753-A/2150753/UN-BSI,UN-BSI,Água Tratada Rede de Distribuição,IQAD,Torneira de entrada,Açude Jaburu,CARNAUBAL,230712,Cachoeira do Norte,UNBSI - CARNAUBAL,UNBSI,Cloro residual livre OT,"1015, SMEWW 13th Ed., 1971",3,"0,2",1,1,5,07/01/2019,07/01/2019,0,
N?  2164122-A/2164122/UN-BSI,UN-BSI,Água Tratada Saída Sistema,IQAP,Torneira de saída da ETA,Poços,CARNAUBAL,322242,Rua Major Felinto - RAP  PT01 + PT02,UNBSI - CARNAUBAL,UNBSI,Cloro residual livre OT,"1015, SMEWW 13th Ed., 1971",3,0,2,2,10000000,06/02/2019,06/02/2019,0,
N?  2161388-A/2161388/UN-BSI,UN-BSI,Água Tratada Rede de Distribuição,IQAD,Torneira de entrada,"PT - 01, PT - 02",CARNAUBAL,230684,"Rua Antônio Lindolfo Gomes, Nº142",UNBSI - CARNAUBAL,UNBSI,Cloro residual livre OT,"1015, SMEWW 13th Ed., 1971",3,"0,2",1,1,5,06/02/2019,06/02/2019,0,
N?  2150482-A/2150482/UN-BSI,UN-BSI,Água Tratada Saída Sistema,IQAP,Torneira de saída da ETA,Poços,CARNAUBAL,322242,Rua Major Felinto - RAP  PT01 + PT02,UNBSI - CARNAUBAL,UNBSI,Cloro residual livre OT,"1015, SMEWW 13th Ed., 1971",3,0,2,2,10000000,03/01/2019,03/01/2019,0,
N?  2150487-A/2150487/UN-BSI,UN-BSI,Água Tratada Saída Sistema,IQAP,Torneira de saída da ETA,Poço,CARNAUBAL,316712,R. Manoel Estárgio - SMS 17 - PT 03,UNBSI - CARNAUBAL,UNBSI,Cloro residual livre OT,"1015, SMEWW 13th Ed., 1971",4,0,2,2,10000000,03/01/2019,03/01/2019,0,
N?  2164125-A/2164125/UN-BSI,UN-BSI,Água Tratada Saída Sistema,IQAP,Torneira de saída da ETA,Poço,CARNAUBAL,316712,R. Manoel Estárgio - SMS 17 - PT 03,UNBSI - CARNAUBAL,UNBSI,Cloro residual livre OT,"1015, SMEWW 13th Ed., 1971",4,0,3,3,10000000,06/02/2019,06/02/2019,0,
N?  2161390-A/2161390/UN-BSI,UN-BSI,Água Tratada Rede de Distribuição,IQAD,Torneira de entrada,"PT - 01, PT - 02",CARNAUBAL,230683,"Rua Antônio Lindolfo Gomes, SMS08",UNBSI - CARNAUBAL,UNBSI,Cloro residual livre OT,"1015, SMEWW 13th Ed., 1971",4,"0,2","1,5","1,5",5,06/02/2019,06/02/2019,0,
N?  2150755-A/2150755/UN-BSI,UN-BSI,Água Tratada Rede de Distribuição,IQAD,Torneira de entrada,"Açude Jaburu, PT - 03",CARNAUBAL,44413,R.  SDO. 30,UNBSI - CARNAUBAL,UNBSI,Cloro residual livre OT,"1015, SMEWW 13th Ed., 1971",4,"0,2","0,5","0,5",5,09/01/2019,09/01/2019,0,
N?  2161391-A/2161391/UN-BSI,UN-BSI,Água Tratada Rede de Distribuição,IQAD,Torneira de entrada,Açude Jaburu,CARNAUBAL,44408,ET. SITIO BURITI,UNBSI - CARNAUBAL,UN BSI,Cloro residual livre OT,"1015, SMEWW 13th Ed., 1971",5,"0,2","1,5","1,5",5,11/02/2019,11/02/2019,0,
N?  2150492-A/2150492/UN-BSI,UN-BSI,Água Tratada Saída Sistema,IQAP,Torneira de saída da ETA,Poços,CARNAUBAL,322242,Rua Major Felinto - RAP  PT01 + PT02,UNBSI - CARNAUBAL,UNBSI,Cloro residual livre OT,"1015, SMEWW 13th Ed., 1971",5,0,2,2,10000000,07/01/2019,07/01/2019,0,
N?  2150756-A/2150756/UN-BSI,UN-BSI,Água Tratada Rede de Distribuição,IQAD,Torneira de entrada,"Açude Jaburu, PT - 03",CARNAUBAL,230708,"Rua Antônio Barroso, nº315",UNBSI - CARNAUBAL,UNBSI,Cloro residual livre OT,"1015, SMEWW 13th Ed., 1971",5,"0,2",2,2,5,14/01/2019,14/01/2019,0,
N?  2164127-A/2164127/UN-BSI,UN-BSI,Água Tratada Saída Sistema,IQAP,Torneira de saída da ETA,Poços,CARNAUBAL,322242,Rua Major Felinto - RAP  PT01 + PT02,UNBSI - CARNAUBAL,UNBSI,Cloro residual livre OT,"1015, SMEWW 13th Ed., 1971",5,0,2,2,10000000,11/02/2019,11/02/2019,0,
N?  2163600-A/2163600/UN-BSI,UN-BSI,Água Tratada Rede de Distribuição,IQAD,Torneira de entrada,Açude Jaburu,CARNAUBAL,44174,ET. SÍTIO BURITI,UNBSI - CARNAUBAL,UN BSI,Cloro residual livre OT,"1015, SMEWW 13th Ed., 1971",6,"0,2",3,3,5,13/02/2019,13/02/2019,0,
N?  2152351-A/2152351/UN-BSI,UN-BSI,Água Tratada Rede de Distribuição,IQAD,Torneira de entrada,Açude Jaburu,CARNAUBAL,44384,R.  DEP. VICENTE RIBEIRO,UNBSI - CARNAUBAL,UNBSI,Cloro residual livre OT,"1015, SMEWW 13th Ed., 1971",6,"0,2",1,1,5,16/01/2019,16/01/2019,0,
N?  2164131-A/2164131/UN-BSI,UN-BSI,Água Tratada Saída Sistema,IQAP,Torneira de saída da ETA,Poço,CARNAUBAL,316712,R. Manoel Estárgio - SMS 17 - PT 03,UNBSI - CARNAUBAL,UNBSI,Cloro residual livre OT,"1015, SMEWW 13th Ed., 1971",6,0,3,3,10000000,11/02/2019,11/02/2019,0,
N?  2150501-A/2150501/UN-BSI,UN-BSI,Água Tratada Saída Sistema,IQAP,Torneira de saída da ETA,Poço,CARNAUBAL,316712,R. Manoel Estárgio - SMS 17 - PT 03,UNBSI - CARNAUBAL,UNBSI,Cloro residual livre OT,"1015, SMEWW 13th Ed., 1971",6,0,2,2,10000000,07/01/2019,07/01/2019,0,
N?  2150506-A/2150506/UN-BSI,UN-BSI,Água Tratada Saída Sistema,IQAP,Torneira de saída da ETA,Poços,CARNAUBAL,322242,Rua Major Felinto - RAP  PT01 + PT02,UNBSI - CARNAUBAL,UNBSI,Cloro residual livre OT,"1015, SMEWW 13th Ed., 1971",7,0,3,3,10000000,09/01/2019,09/01/2019,0,
N?  2163612-A/2163612/UN-BSI,UN-BSI,Água Tratada Rede de Distribuição,IQAD,Torneira de entrada,"Açude Jaburu, PT - 03",CARNAUBAL,44199,AV. PAULO SARASATE,UNBSI - CARNAUBAL,UN BSI,Cloro residual livre OT,"1015, SMEWW 13th Ed., 1971",7,"0,2","1,5","1,5",5,18/02/2019,18/02/2019,0,
N?  2164133-A/2164133/UN-BSI,UN-BSI,Água Tratada Saída Sistema,IQAP,Torneira de saída da ETA,Poços,CARNAUBAL,322242,Rua Major Felinto - RAP  PT01 + PT02,UNBSI - CARNAUBAL,UNBSI,Cloro residual livre OT,"1015, SMEWW 13th Ed., 1971",7,0,"1,5","1,5",10000000,13/02/2019,13/02/2019,0,
N?  2152352-A/2152352/UN-BSI,UN-BSI,Água Tratada Rede de Distribuição,IQAD,Torneira de entrada,"Açude Jaburu, PT - 03",CARNAUBAL,44175,ET. PARA SÃO LUIZ,UNBSI - CARNAUBAL,UNBSI,Cloro residual livre OT,"1015, SMEWW 13th Ed., 1971",7,"0,2",1,1,5,16/01/2019,16/01/2019,0,
N?  2164136-A/2164136/UN-BSI,UN-BSI,Água Tratada Saída Sistema,IQAP,Torneira de saída da ETA,Poço,CARNAUBAL,316712,R. Manoel Estárgio - SMS 17 - PT 03,UNBSI - CARNAUBAL,UNBSI,Cloro residual livre OT,"1015, SMEWW 13th Ed., 1971",8,0,3,3,10000000,13/02/2019,13/02/2019,0,
N?  2163613-A/2163613/UN-BSI,UN-BSI,Água Tratada Rede de Distribuição,IQAD,Torneira de entrada,"PT - 01, PT - 02",CARNAUBAL,230687,Av. São Vicente,UNBSI - CARNAUBAL,UNBSI,Cloro residual livre OT,"1015, SMEWW 13th Ed., 1971",8,"0,2",2,2,5,18/02/2019,18/02/2019,0,
N?  2152353-A/2152353/UN-BSI,UN-BSI,Água Tratada Rede de Distribuição,IQAD,Torneira de entrada,"Açude Jaburu, PT - 03",CARNAUBAL,44000,"Rua SImplício Damasceno, Nº 143",UNBSI - CARNAUBAL,UNBSI,Cloro residual livre OT,"1015, SMEWW 13th Ed., 1971",8,"0,2","0,5","0,5",5,21/01/2019,21/01/2019,0,
N?  2150512-A/2150512/UN-BSI,UN-BSI,Água Tratada Saída Sistema,IQAP,Torneira de saída da ETA,Poço,CARNAUBAL,316712,R. Manoel Estárgio - SMS 17 - PT 03,UNBSI - CARNAUBAL,UNBSI,Cloro residual livre OT,"1015, SMEWW 13th Ed., 1971",8,0,2,2,10000000,09/01/2019,09/01/2019,0,
N?  2152354-A/2152354/UN-BSI,UN-BSI,Água Tratada Rede de Distribuição,IQAD,Torneira de entrada,"Açude Jaburu, PT - 03",CARNAUBAL,44005,RUA ANTONIO PINTO DE MELO S/N,UNBSI - CARNAUBAL,UN BSI,Cloro residual livre OT,"1015, SMEWW 13th Ed., 1971",9,"0,2",1,1,5,21/01/2019,21/01/2019,0,
N?  2164138-A/2164138/UN-BSI,UN-BSI,Água Tratada Saída Sistema,IQAP,Torneira de saída da ETA,Poços,CARNAUBAL,322242,Rua Major Felinto - RAP  PT01 + PT02,UNBSI - CARNAUBAL,UNBSI,Cloro residual livre OT,"1015, SMEWW 13th Ed., 1971",9,0,2,2,10000000,18/02/2019,18/02/2019,0,
N?  2164342-A/2164342/UN-BSI,UN-BSI,Água Tratada Rede de Distribuição,IQAD,Torneira de entrada,Açude Jaburu,CARNAUBAL,230715,Buriti,UNBSI - CARNAUBAL,UNBSI,Cloro residual livre OT,"1015, SMEWW 13th Ed., 1971",9,"0,2",2,2,5,20/02/2019,20/02/2019,0,
